Wall time,Step,Value
1750579309.5110767,12479,-9.546757698059082
1750579309.5553548,12481,-5.723328590393066
1750579311.6218188,12555,-6.416001319885254
1750579312.926548,12602,-5.692741870880127
1750579314.2211447,12649,-6.407098770141602
1750579315.8909447,12709,-6.561341285705566
1750579317.8943148,12783,-6.786466598510742
1750579318.125824,12792,-6.273580551147461
1750579319.8266416,12859,-6.768449783325195
1750579321.0289173,12902,-5.846860885620117
1750579321.160697,12906,-5.685568809509277
1750579321.6354408,12923,-6.881633281707764
1750579322.2182639,12945,-6.701759338378906
1750579323.0786202,12973,-5.5568389892578125
1750579323.2025795,12977,-5.588100910186768
1750579323.7981622,12998,-5.368539810180664
1750579324.1526237,13011,-6.532768726348877
1750579324.5262752,13025,-5.971360206604004
1750579324.9439561,13037,-5.725173473358154
1750579324.9754808,13038,-5.830047130584717
1750579325.3214386,13049,-5.631067276000977
1750579326.6111467,13093,-5.8595733642578125
1750579330.4122372,13189,-5.416267395019531
1750579332.0613146,13228,-6.23173189163208
1750579333.0036373,13251,-6.419333457946777
1750579333.5313373,13262,-5.924436569213867
1750579335.8320673,13305,-5.748080253601074
1750579337.8008928,13350,-5.71046257019043
1750579339.4006076,13389,-6.245153903961182
1750579340.462875,13419,-6.144227027893066
1750579342.2440403,13456,-7.101301193237305
1750579345.375151,13523,-5.696378707885742
1750579345.8019364,13533,-5.93956184387207
1750579346.3820992,13551,-6.035497665405273
1750579346.9809778,13559,-6.248478889465332
1750579348.0925756,13589,-5.5985260009765625
1750579349.7648773,13624,-6.427989959716797
1750579350.770718,13643,-5.928387641906738
1750579350.9284275,13645,-7.958364486694336
1750579351.0799332,13648,-5.598228454589844
1750579351.5457494,13661,-5.8586835861206055
1750579354.1832268,13717,-5.749721050262451
1750579355.132947,13737,-6.260479927062988
1750579357.9321659,13803,-5.71600341796875
1750579359.322519,13832,-5.7930097579956055
1750579360.1251235,13850,-7.1962103843688965
1750579361.7907615,13891,-5.9836106300354
1750579363.057186,13917,-5.71718692779541
1750579365.4590402,13972,-5.7493157386779785
1750579365.9254537,13981,-6.5613508224487305
1750579366.9806654,14007,-7.176421165466309
1750579368.7680721,14047,-7.308615684509277
1750579371.3511932,14103,-5.683460235595703
1750579371.89725,14114,-7.255943775177002
1750579372.3654613,14128,-6.231786727905273
1750579372.9975996,14141,-6.689032554626465
1750579373.7976255,14159,-7.800926208496094
1750579374.5881605,14178,-6.485413551330566
1750579375.1327677,14189,-7.720145225524902
1750579375.3251326,14195,-6.2385945320129395
1750579375.8079596,14207,-5.985881328582764
1750579376.6118789,14224,-5.476770401000977
1750579378.0955234,14259,-6.776416778564453
